"orderId","orderGUID","orderPaymentAmount","orderDate","orderPaymentType","latitude","longitude"
"110","5e7caeca-3e4f-488e-ba8e-b0504fb838df","202.59","2016-04-16 11:32:19","CAD","66.432453","-88.796326"
"111","f98a1df0-1d57-4ac6-9350-9e4a6ba00a2a","7.38","2016-04-30 07:00:06","CASH","-76.816514","-134.714379"
"112","ec677b1b-3f93-4e08-86ff-78a4ed3a18ca","235.31","2016-08-09 11:56:46","SET_CARD","41.767231","168.152521"
"113","22ae6051-00ea-41d7-9633-8e0a1bea7086","176.21","2018-02-05 06:39:51","TL","-23.932921","-67.321867"
"114","49e81105-7606-4453-bd6c-17e8812dc900","115.9","2016-08-07 07:08:20","WIN_CARD","-29.252244","-32.908233"
"115","d56331c7-4bef-422a-baaf-2898a577438f","96.99","2015-02-19 11:47:14","SODEXO","15.465493","-102.491321"
"116","df1b6c7d-0c8a-4a2a-86f7-0512d62546f1","268.81","2015-01-29 01:41:26","WIN_CARD","32.373127","-145.76003"
"117","85194c7a-702f-4918-a5c6-70750261639f","209.62","2017-12-19 07:06:52","SET_CARD","-51.518771","-150.325206"
"118","2282a5bb-33db-40c8-ba4c-7ad3632d69f0","269.36","2019-01-07 04:49:23","BOX_CARD","-89.011587","147.325423"
"119","8cd71436-a44e-41bb-ac46-aa01a08adb86","24.18","2015-09-06 07:47:30","CAD","-32.008145","136.27611"
"120","304da54c-5549-4d34-b2a6-b3b24de01048","57.78","2019-03-06 04:49:29","EUR","67.852861","-65.371418"
"121","8575494b-325e-46a2-ab5c-96e6816113a9","246.23","2017-12-30 08:12:46","MEAL_CARD","8.934002","-141.332236"
"122","fcdd2035-7077-4cc6-b59f-2c4c1443715c","308.03","2015-04-08 02:04:09","CAD","-14.830096","-151.10659"
"123","b0057e77-ab3e-4234-bdff-48f59445a92e","152.99","2014-05-25 11:44:07","SODEXO","86.408426","31.548352"
"124","be6dd211-91e3-4671-996f-1a3a7b8853f2","313.11","2015-10-21 10:47:22","EUR","11.233109","26.51971"
"125","b8bc3566-834a-4692-875d-5afbfec7e7bc","329.52","2016-10-06 03:37:16","CREDIT_CARD","-78.260741","-111.054721"
"126","2ad76a95-1bd5-44d2-bd77-6e295086e6a9","98.44","2016-08-26 08:48:10","MULTINET","-60.591679","-7.890749"
"127","93cd0023-647d-4790-8283-5f43bd8f3e4f","116.97","2015-12-08 05:38:50","SET_CARD","-33.086659","10.615592"
"128","0b262579-d4ee-4b97-b3a4-90f795f49a6f","126.91","2015-04-24 06:55:17","WIN_CARD","82.318631","-8.815967"
"129","26a999a2-8cb4-47e0-a1ee-b94a25797745","57.85","2016-01-22 03:57:05","MULTINET","-17.091115","141.181783"
"130","218abe38-bfc9-4e62-a565-4e4dc06fd183","165.31","2018-01-21 02:56:58","EUR","-77.869858","137.502259"
"131","b85de28f-f314-43c1-ab55-1f2c49152ffc","36.21","2017-12-24 04:36:41","SET_CARD","-63.07349","-90.115359"
"132","0dfd9ece-9d72-4768-a3bc-73c77bca0f7f","116.74","2015-05-31 09:59:49","EUR","-18.571778","-121.429078"
"133","ccba48a5-acc0-481e-9621-abaf14cb351f","158.47","2016-02-06 02:50:10","USD","-35.591004","-164.626169"
"134","a0bb026e-ed6e-46c8-93cb-574ec426ce24","320.46","2016-12-30 06:27:14","MEAL_CARD","72.151297","145.347692"
"135","75fd8b0d-dddb-446f-a733-76d4b2531d12","335.19","2018-01-13 07:00:50","CASH","34.912243","167.602746"
"136","3659b9fd-1ccd-400c-bc7f-9002af2f93b5","22.1","2016-06-23 03:10:04","EUR","42.491233","117.123805"
"137","a22b916a-548e-42c6-9400-8f94c2c04945","71.85","2018-02-18 03:16:12","TL","42.265087","-83.887907"
"138","6dc97641-f05f-4405-b0ad-d27185d8adf7","313.67","2016-09-19 05:35:31","MEAL_CARD","-25.685423","58.965651"
"139","4a226d95-344f-4f41-8c23-4c30fd524e50","177.74","2017-09-19 02:55:52","SET_CARD","82.08078","26.031744"
"140","7352a2bf-7128-4ffb-a740-de1f9fb1367d","165.19","2018-11-22 06:04:53","SODEXO","-20.485054","-44.743259"
"141","bc55af07-5506-4ce3-8bb7-04bfe62b723f","114.24","2020-12-12 08:47:11","EUR","-34.215575","38.708258"
"142","129629c7-523a-4c24-a389-98d70e3f9a6e","324.55","2020-06-20 11:41:03","EUR","-43.261506","-10.256032"
"143","4a1d4f86-a43f-4bff-bd15-103b4ba26bb7","231.88","2017-05-20 07:21:12","TL","-51.892407","-47.755391"
"144","6111392b-30c5-4a4c-a3b2-691faab43668","13.56","2019-06-05 09:44:12","MEAL_CARD","27.569136","-90.942716"
"145","676febf8-c8a1-4cb0-8029-660a6c951ae3","65.08","2020-03-14 01:58:12","CASH","78.84455","44.086683"
"146","4a916dfe-ea85-4f23-ba28-cadde92fcfc6","107.93","2018-03-09 09:50:15","BOX_CARD","-78.392144","-21.365332"
"147","2528faa3-dce4-4fd7-8513-bd34eac552be","96.44","2019-12-02 05:39:08","CAD","84.871984","167.85531"
"148","43ef9a66-e5d0-4e29-b3f4-ddf4bd9f56c7","288.01","2017-10-09 11:10:57","MEAL_CARD","61.650722","95.575676"
"149","1405b483-a711-41d2-8e1a-f2bcdf8eb30b","74.56","2014-02-22 02:30:51","EUR","24.751501","-81.423078"
"150","7542a326-6b8f-498a-8924-0b24b62b4d34","127.8","2017-10-24 12:13:03","SODEXO","87.012921","-38.590935"
"151","fbab96da-6e03-409d-bca0-cb073faef72b","63.93","2014-01-28 11:03:19","MULTINET","-25.073416","77.709587"
"152","16ef8974-c2c2-4365-ad09-1f1d73bca92b","34.91","2020-09-26 11:54:32","TL","-35.735128","75.842921"
"153","db367b60-e03d-45ff-ab9f-910d4e7791e9","215.74","2020-01-28 09:42:36","BOX_CARD","-52.728837","121.297353"
"154","bbe8e543-beeb-4e09-b11a-d64de55d9710","222.34","2018-10-02 12:03:00","USD","-35.572209","-24.491564"
"155","5478e016-0a06-4a6a-b85d-02c165aecd6e","172.47","2019-05-04 02:32:10","MULTINET","89.466398","84.344195"
"156","ae73b58f-773e-49a4-878c-cfd2f24317fd","271.24","2020-10-14 09:54:12","SET_CARD","13.695027","-103.809374"
"157","70fc9445-ae3f-4818-a36d-a219f35a5594","293.94","2019-04-07 11:42:32","BOX_CARD","12.381882","-76.549214"
"158","c2078f20-206a-4bda-bb5e-613e5df266bf","73.23","2017-03-16 05:15:29","MEAL_CARD","43.744779","-7.050541"
"159","bd4c2801-311b-4fc3-affa-31cdf49dea16","208.78","2015-10-15 04:11:12","EUR","-80.031103","-41.687688"
"160","205c2baa-d21f-40aa-ac0d-8eda5a547fc1","319.94","2020-01-12 08:33:51","CREDIT_CARD","-82.174184","25.8455"
"161","18402f1e-58ef-465e-af20-8504632a6353","276.9","2016-09-27 05:42:31","BOX_CARD","-51.26621","-112.533184"
"162","c79248b1-2a83-45ae-9a2c-692a7d120fb5","297.8","2014-12-08 07:50:18","MULTINET","76.941347","-106.240682"
"163","1182bbc4-7146-4a8e-89f0-ba2835f4d59f","170.98","2014-11-03 01:51:30","MEAL_CARD","11.932015","-3.849622"
"164","38343a15-dead-4673-9ebd-fe4abd5c6c0d","91.13","2016-03-23 01:55:16","EUR","0.592077","-96.385176"
"165","84ee48c4-7bd0-457b-ad0c-d10711ba807c","141.65","2016-12-19 01:38:35","MULTINET","-63.720764","-18.294334"
"166","f631f761-20dc-43c6-8bdb-b732658a7060","72.47","2020-11-15 02:43:04","MULTINET","-9.509376","-113.900066"
"167","9f867604-7458-4250-819e-5382beee3b57","155.17","2015-09-07 03:49:46","MEAL_CARD","14.848281","-7.976361"
"168","a895ed73-87c7-44be-bef5-b5be6335e0ca","81.59","2015-06-28 09:44:37","EUR","24.255398","-146.178775"
"169","0d945952-ad6d-4ce8-bab7-4aab29776f34","37.58","2016-07-26 09:09:31","SET_CARD","20.40346","-30.087901"
"170","c33d1b47-07c6-4b30-a3e9-da638b3a2110","278.24","2018-08-26 01:07:00","EUR","-45.877905","-89.231029"
"171","da0bf3f3-f820-46fa-863f-3594098f8433","28.14","2017-12-27 03:27:20","SODEXO","-83.433502","37.706753"
"172","7b0208a2-035c-448d-8862-a7c4de3d005c","74.26","2020-11-10 03:59:00","BOX_CARD","-88.236885","-71.266315"
"173","e8bf0056-0de8-4ade-bc57-dd4992ee49e8","302.21","2019-07-28 07:35:07","SET_CARD","-15.068794","-72.576595"
"174","fe2aaba1-7a50-4c6b-a204-f64ddadea5c4","244.3","2017-08-19 05:28:34","MULTINET","79.339057","-126.074783"
"175","f2be981d-a5c8-4005-a53f-1cc668ad2ee2","292.62","2020-06-02 07:47:39","USD","-4.042807","6.194958"
"176","22216942-4427-438a-be6b-d0331f08e7d5","211.63","2016-04-02 10:24:21","BOX_CARD","67.400657","-153.498874"
"177","cfaf0361-3939-4387-a976-01adee5670c4","271.57","2016-06-10 09:24:05","BOX_CARD","-9.09078","-50.582644"
"178","f8f7da5b-f51f-4fa4-8e01-26de427e8b62","85.62","2014-08-18 03:08:31","TL","-14.325194","-143.308644"
"179","04f8d7de-7a00-4f2c-9047-f8f72a31dda7","111.62","2014-03-03 06:08:55","USD","45.653253","-115.054111"
"180","d5120329-cf1a-49f1-888a-8cc5ddf65673","109.42","2019-11-25 01:03:12","MULTINET","2.280695","98.520592"
"181","fa57ba70-c004-4364-8555-494f472a5c04","276.2","2017-12-18 07:23:45","CASH","28.895899","155.121332"
"182","9e7e108c-3aef-49fe-9395-03734427e66b","60.76","2018-12-07 11:11:41","MEAL_CARD","-20.671905","79.768785"
"183","36058eec-c301-4c4f-b915-1cf46cd532a1","0.5","2017-10-08 09:54:34","SET_CARD","-73.720207","106.208231"
"184","1e162874-0171-40c3-bdd5-15323853f36b","343.65","2019-06-12 08:45:30","EUR","66.885822","110.002421"
"185","0a626e1a-9a9b-43e3-a8f8-daa332ab1ed4","250.23","2016-02-05 06:23:50","CREDIT_CARD","88.812143","-91.71899"
"186","d84ff1c4-fda9-4075-b1dc-73ed19a19dad","26.54","2020-07-24 07:50:54","TL","-69.24247","18.529963"
"187","266af51a-3606-4ead-bf82-faedc15f6db8","33.06","2017-11-20 07:53:02","USD","71.659666","-90.587006"
"188","979acbc7-a8b7-4aa5-9c32-65598b18de39","78.82","2018-03-31 12:38:21","TL","-57.698428","-87.261329"
